Система,Уникальные ID,Промпт,Попытка,Тег,Решение,Конфликт,Цитата,Номер реплики,Кто говорит,Категория сигнала,Флаги
cvetovik,1727273062.4324621,P1,3,Акция,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Отказ,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Негатив,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Дорого,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Позовите руководителя,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Допродажа,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Сервис,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Доставка,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Оплата,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Возврат,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,1,Акция,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Отказ,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Негатив,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Дорого,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Позовите руководителя,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Допродажа,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Сервис,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Доставка,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Оплата,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Возврат,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,2,Акция,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Отказ,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Негатив,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Дорого,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Позовите руководителя,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Допродажа,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Сервис,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Доставка,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Оплата,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Возврат,False,False,,,,,{}
cvetovik,1727340666.4326410,P1,3,Акция,False,False,,,,,{}
